Date,Adj Close,Close,High,Low,Open,Volume
6/28/2021,354.572418,355.640015,358.140015,341.769989,342.459991,29156100
6/29/2021,350.83371,351.890015,356.73999,349.049988,356.269989,21417300
6/30/2021,346.666199,347.709991,352.920013,347.170013,352.170013,15107500
7/1/2021,353.326202,354.390015,354.670013,346.5,346.820007,17137000
7/2/2021,353.635254,354.700012,356.440002,352.619995,355.100006,11521300
7/6/2021,351.721008,352.779999,358.790009,349.179993,356.5,13488500
7/7/2021,349.437866,350.48999,356.48999,350,355.26001,14218900
7/8/2021,344.612396,345.649994,348.329987,342.559998,345.730011,14406500
7/9/2021,349.368134,350.420013,350.709991,345.269989,345.320007,13018700
7/12/2021,352.099884,353.160004,354.190002,349.640015,351.230011,10018600
7/13/2021,351.033081,352.089996,358.48999,348.799988,351.5,11456000
7/14/2021,346.586487,347.630005,355.200012,346.730011,354.559998,13894200
7/15/2021,343.425995,344.459991,349.230011,340.220001,349.230011,14781600
7/16/2021,340.135895,341.160004,345.98999,340.140015,344.910004,11026100
7/19/2021,335.938568,336.950012,339.790009,334.540009,337.570007,14372300
7/20/2021,340.634399,341.660004,343.450012,334.5,338.799988,11024300
7/21/2021,345.190674,346.230011,346.519989,341.25,341.5,9279700
